
Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 9.28306e-05, 6.4e-05, 6.4e-10, 2.496e-05, 1.95e-06, 1.92e-06, 1.365e-06, 2.51875e-08, 2e-06, 9.465e-06, 0.000105686, 67.4118
, 2.64202e-05, 1.8e-05, 1.8e-10, 7.02e-06, 8.6e-07, 5.4e-07, 5.7e-07, 2.1625e-08, 2.02e-06, 5.425e-06, 3.44568e-05, 87.9352
, 5.68604e-05, 3.9e-05, 3.9e-10, 1.521e-05, 1.48e-06, 1.17e-06, 1.515e-06, 2.46875e-08, 2e-06, 8.625e-06, 6.90251e-05, 77.2938
, 5.22404e-05, 3.6e-05, 3.6e-10, 1.404e-05, 1.12e-06, 1.08e-06, 6.15e-07, 2.5e-08, 2e-06, 6.88e-06, 6.17604e-05, 79.4177
, 8.18006e-05, 5.7e-05, 5.7e-10, 2.223e-05, 8.6e-07, 1.71e-06, 1.515e-06, 2.4375e-08, 2e-06, 7.99e-06, 9.33299e-05, 70.5925
, 3.95003e-05, 2.7e-05, 2.7e-10, 1.053e-05, 1.16e-06, 8.1e-07, 6.75e-07, 2.5e-08, 2e-06, 7.39e-06, 4.95903e-05, 83.1072
, 5.78004e-05, 4e-05, 4e-10, 1.56e-05, 1e-06, 1.2e-06, 6.75e-07, 2.5e-08, 2e-06, 7e-06, 6.75004e-05, 77.7348
, 1.30801e-05, 9e-06, 9e-11, 3.51e-06, 3e-07, 2.7e-07, 3.15e-07, 2.5125e-08, 2e-06, 5.92e-06, 2.13402e-05, 92.346
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 2.65602e-05, 1.8e-05, 1.8e-10, 7.02e-06, 1e-06, 5.4e-07, 3.15e-07, 5.86875e-08, 4.94e-06, 1.168e-05, 4.35539e-05, 85.0004


